Image,Mask
D:\Data\brats18\train/Image/1_117_95.npy,D:\Data\brats18\train/Mask/1_117_95.npy
D:\Data\brats18\train/Image/1_117_96.npy,D:\Data\brats18\train/Mask/1_117_96.npy
D:\Data\brats18\train/Image/1_117_97.npy,D:\Data\brats18\train/Mask/1_117_97.npy
D:\Data\brats18\train/Image/1_117_98.npy,D:\Data\brats18\train/Mask/1_117_98.npy
D:\Data\brats18\train/Image/1_117_99.npy,D:\Data\brats18\train/Mask/1_117_99.npy
D:\Data\brats18\train/Image/1_118_12.npy,D:\Data\brats18\train/Mask/1_118_12.npy
D:\Data\brats18\train/Image/1_118_13.npy,D:\Data\brats18\train/Mask/1_118_13.npy
D:\Data\brats18\train/Image/1_118_15.npy,D:\Data\brats18\train/Mask/1_118_15.npy
D:\Data\brats18\train/Image/1_118_16.npy,D:\Data\brats18\train/Mask/1_118_16.npy
D:\Data\brats18\train/Image/1_118_21.npy,D:\Data\brats18\train/Mask/1_118_21.npy
D:\Data\brats18\train/Image/1_118_22.npy,D:\Data\brats18\train/Mask/1_118_22.npy
D:\Data\brats18\train/Image/1_118_24.npy,D:\Data\brats18\train/Mask/1_118_24.npy
D:\Data\brats18\train/Image/1_118_25.npy,D:\Data\brats18\train/Mask/1_118_25.npy
D:\Data\brats18\train/Image/1_118_3.npy,D:\Data\brats18\train/Mask/1_118_3.npy
D:\Data\brats18\train/Image/1_118_30.npy,D:\Data\brats18\train/Mask/1_118_30.npy
D:\Data\brats18\train/Image/1_118_31.npy,D:\Data\brats18\train/Mask/1_118_31.npy
D:\Data\brats18\train/Image/1_118_33.npy,D:\Data\brats18\train/Mask/1_118_33.npy
D:\Data\brats18\train/Image/1_118_34.npy,D:\Data\brats18\train/Mask/1_118_34.npy
D:\Data\brats18\train/Image/1_118_39.npy,D:\Data\brats18\train/Mask/1_118_39.npy
D:\Data\brats18\train/Image/1_118_4.npy,D:\Data\brats18\train/Mask/1_118_4.npy
D:\Data\brats18\train/Image/1_118_40.npy,D:\Data\brats18\train/Mask/1_118_40.npy
D:\Data\brats18\train/Image/1_118_42.npy,D:\Data\brats18\train/Mask/1_118_42.npy
D:\Data\brats18\train/Image/1_118_43.npy,D:\Data\brats18\train/Mask/1_118_43.npy
D:\Data\brats18\train/Image/1_118_48.npy,D:\Data\brats18\train/Mask/1_118_48.npy
D:\Data\brats18\train/Image/1_118_49.npy,D:\Data\brats18\train/Mask/1_118_49.npy
D:\Data\brats18\train/Image/1_118_51.npy,D:\Data\brats18\train/Mask/1_118_51.npy
D:\Data\brats18\train/Image/1_118_52.npy,D:\Data\brats18\train/Mask/1_118_52.npy
D:\Data\brats18\train/Image/1_118_57.npy,D:\Data\brats18\train/Mask/1_118_57.npy
D:\Data\brats18\train/Image/1_118_58.npy,D:\Data\brats18\train/Mask/1_118_58.npy
D:\Data\brats18\train/Image/1_118_6.npy,D:\Data\brats18\train/Mask/1_118_6.npy
D:\Data\brats18\train/Image/1_118_60.npy,D:\Data\brats18\train/Mask/1_118_60.npy
D:\Data\brats18\train/Image/1_118_61.npy,D:\Data\brats18\train/Mask/1_118_61.npy
D:\Data\brats18\train/Image/1_118_66.npy,D:\Data\brats18\train/Mask/1_118_66.npy
D:\Data\brats18\train/Image/1_118_67.npy,D:\Data\brats18\train/Mask/1_118_67.npy
D:\Data\brats18\train/Image/1_118_69.npy,D:\Data\brats18\train/Mask/1_118_69.npy
D:\Data\brats18\train/Image/1_118_7.npy,D:\Data\brats18\train/Mask/1_118_7.npy
D:\Data\brats18\train/Image/1_118_70.npy,D:\Data\brats18\train/Mask/1_118_70.npy
D:\Data\brats18\train/Image/1_118_75.npy,D:\Data\brats18\train/Mask/1_118_75.npy
D:\Data\brats18\train/Image/1_118_76.npy,D:\Data\brats18\train/Mask/1_118_76.npy
D:\Data\brats18\train/Image/1_118_78.npy,D:\Data\brats18\train/Mask/1_118_78.npy
D:\Data\brats18\train/Image/1_118_79.npy,D:\Data\brats18\train/Mask/1_118_79.npy
D:\Data\brats18\train/Image/1_118_84.npy,D:\Data\brats18\train/Mask/1_118_84.npy
D:\Data\brats18\train/Image/1_118_85.npy,D:\Data\brats18\train/Mask/1_118_85.npy
D:\Data\brats18\train/Image/1_118_87.npy,D:\Data\brats18\train/Mask/1_118_87.npy
D:\Data\brats18\train/Image/1_118_88.npy,D:\Data\brats18\train/Mask/1_118_88.npy
D:\Data\brats18\train/Image/1_118_93.npy,D:\Data\brats18\train/Mask/1_118_93.npy
D:\Data\brats18\train/Image/1_118_94.npy,D:\Data\brats18\train/Mask/1_118_94.npy
D:\Data\brats18\train/Image/1_118_96.npy,D:\Data\brats18\train/Mask/1_118_96.npy
D:\Data\brats18\train/Image/1_118_97.npy,D:\Data\brats18\train/Mask/1_118_97.npy
D:\Data\brats18\train/Image/1_119_0.npy,D:\Data\brats18\train/Mask/1_119_0.npy
D:\Data\brats18\train/Image/1_119_1.npy,D:\Data\brats18\train/Mask/1_119_1.npy
D:\Data\brats18\train/Image/1_119_10.npy,D:\Data\brats18\train/Mask/1_119_10.npy
D:\Data\brats18\train/Image/1_119_100.npy,D:\Data\brats18\train/Mask/1_119_100.npy
D:\Data\brats18\train/Image/1_119_101.npy,D:\Data\brats18\train/Mask/1_119_101.npy
D:\Data\brats18\train/Image/1_119_102.npy,D:\Data\brats18\train/Mask/1_119_102.npy
D:\Data\brats18\train/Image/1_119_103.npy,D:\Data\brats18\train/Mask/1_119_103.npy
D:\Data\brats18\train/Image/1_119_104.npy,D:\Data\brats18\train/Mask/1_119_104.npy
D:\Data\brats18\train/Image/1_119_105.npy,D:\Data\brats18\train/Mask/1_119_105.npy
D:\Data\brats18\train/Image/1_119_106.npy,D:\Data\brats18\train/Mask/1_119_106.npy
D:\Data\brats18\train/Image/1_119_107.npy,D:\Data\brats18\train/Mask/1_119_107.npy
D:\Data\brats18\train/Image/1_119_108.npy,D:\Data\brats18\train/Mask/1_119_108.npy
D:\Data\brats18\train/Image/1_119_109.npy,D:\Data\brats18\train/Mask/1_119_109.npy
D:\Data\brats18\train/Image/1_119_110.npy,D:\Data\brats18\train/Mask/1_119_110.npy
D:\Data\brats18\train/Image/1_119_111.npy,D:\Data\brats18\train/Mask/1_119_111.npy
D:\Data\brats18\train/Image/1_119_112.npy,D:\Data\brats18\train/Mask/1_119_112.npy
D:\Data\brats18\train/Image/1_119_113.npy,D:\Data\brats18\train/Mask/1_119_113.npy
D:\Data\brats18\train/Image/1_119_114.npy,D:\Data\brats18\train/Mask/1_119_114.npy
D:\Data\brats18\train/Image/1_119_115.npy,D:\Data\brats18\train/Mask/1_119_115.npy
D:\Data\brats18\train/Image/1_119_116.npy,D:\Data\brats18\train/Mask/1_119_116.npy
D:\Data\brats18\train/Image/1_119_117.npy,D:\Data\brats18\train/Mask/1_119_117.npy
D:\Data\brats18\train/Image/1_119_118.npy,D:\Data\brats18\train/Mask/1_119_118.npy
D:\Data\brats18\train/Image/1_119_119.npy,D:\Data\brats18\train/Mask/1_119_119.npy
D:\Data\brats18\train/Image/1_119_12.npy,D:\Data\brats18\train/Mask/1_119_12.npy
D:\Data\brats18\train/Image/1_119_120.npy,D:\Data\brats18\train/Mask/1_119_120.npy
D:\Data\brats18\train/Image/1_119_121.npy,D:\Data\brats18\train/Mask/1_119_121.npy
D:\Data\brats18\train/Image/1_119_122.npy,D:\Data\brats18\train/Mask/1_119_122.npy
D:\Data\brats18\train/Image/1_119_123.npy,D:\Data\brats18\train/Mask/1_119_123.npy
D:\Data\brats18\train/Image/1_119_124.npy,D:\Data\brats18\train/Mask/1_119_124.npy
D:\Data\brats18\train/Image/1_119_125.npy,D:\Data\brats18\train/Mask/1_119_125.npy
D:\Data\brats18\train/Image/1_119_13.npy,D:\Data\brats18\train/Mask/1_119_13.npy
D:\Data\brats18\train/Image/1_119_15.npy,D:\Data\brats18\train/Mask/1_119_15.npy
D:\Data\brats18\train/Image/1_119_16.npy,D:\Data\brats18\train/Mask/1_119_16.npy
D:\Data\brats18\train/Image/1_119_18.npy,D:\Data\brats18\train/Mask/1_119_18.npy
D:\Data\brats18\train/Image/1_119_19.npy,D:\Data\brats18\train/Mask/1_119_19.npy
D:\Data\brats18\train/Image/1_119_21.npy,D:\Data\brats18\train/Mask/1_119_21.npy
D:\Data\brats18\train/Image/1_119_22.npy,D:\Data\brats18\train/Mask/1_119_22.npy
D:\Data\brats18\train/Image/1_119_23.npy,D:\Data\brats18\train/Mask/1_119_23.npy
D:\Data\brats18\train/Image/1_119_24.npy,D:\Data\brats18\train/Mask/1_119_24.npy
D:\Data\brats18\train/Image/1_119_25.npy,D:\Data\brats18\train/Mask/1_119_25.npy
D:\Data\brats18\train/Image/1_119_26.npy,D:\Data\brats18\train/Mask/1_119_26.npy
D:\Data\brats18\train/Image/1_119_27.npy,D:\Data\brats18\train/Mask/1_119_27.npy
D:\Data\brats18\train/Image/1_119_28.npy,D:\Data\brats18\train/Mask/1_119_28.npy
D:\Data\brats18\train/Image/1_119_3.npy,D:\Data\brats18\train/Mask/1_119_3.npy
D:\Data\brats18\train/Image/1_119_30.npy,D:\Data\brats18\train/Mask/1_119_30.npy
D:\Data\brats18\train/Image/1_119_31.npy,D:\Data\brats18\train/Mask/1_119_31.npy
D:\Data\brats18\train/Image/1_119_32.npy,D:\Data\brats18\train/Mask/1_119_32.npy
D:\Data\brats18\train/Image/1_119_33.npy,D:\Data\brats18\train/Mask/1_119_33.npy
D:\Data\brats18\train/Image/1_119_34.npy,D:\Data\brats18\train/Mask/1_119_34.npy
D:\Data\brats18\train/Image/1_119_35.npy,D:\Data\brats18\train/Mask/1_119_35.npy
D:\Data\brats18\train/Image/1_119_36.npy,D:\Data\brats18\train/Mask/1_119_36.npy
D:\Data\brats18\train/Image/1_119_37.npy,D:\Data\brats18\train/Mask/1_119_37.npy
D:\Data\brats18\train/Image/1_119_39.npy,D:\Data\brats18\train/Mask/1_119_39.npy
D:\Data\brats18\train/Image/1_119_4.npy,D:\Data\brats18\train/Mask/1_119_4.npy
D:\Data\brats18\train/Image/1_119_40.npy,D:\Data\brats18\train/Mask/1_119_40.npy
D:\Data\brats18\train/Image/1_119_41.npy,D:\Data\brats18\train/Mask/1_119_41.npy
D:\Data\brats18\train/Image/1_119_42.npy,D:\Data\brats18\train/Mask/1_119_42.npy
D:\Data\brats18\train/Image/1_119_43.npy,D:\Data\brats18\train/Mask/1_119_43.npy
D:\Data\brats18\train/Image/1_119_44.npy,D:\Data\brats18\train/Mask/1_119_44.npy
D:\Data\brats18\train/Image/1_119_45.npy,D:\Data\brats18\train/Mask/1_119_45.npy
D:\Data\brats18\train/Image/1_119_46.npy,D:\Data\brats18\train/Mask/1_119_46.npy
D:\Data\brats18\train/Image/1_119_48.npy,D:\Data\brats18\train/Mask/1_119_48.npy
D:\Data\brats18\train/Image/1_119_49.npy,D:\Data\brats18\train/Mask/1_119_49.npy
D:\Data\brats18\train/Image/1_119_50.npy,D:\Data\brats18\train/Mask/1_119_50.npy
D:\Data\brats18\train/Image/1_119_51.npy,D:\Data\brats18\train/Mask/1_119_51.npy
D:\Data\brats18\train/Image/1_119_52.npy,D:\Data\brats18\train/Mask/1_119_52.npy
D:\Data\brats18\train/Image/1_119_53.npy,D:\Data\brats18\train/Mask/1_119_53.npy
D:\Data\brats18\train/Image/1_119_54.npy,D:\Data\brats18\train/Mask/1_119_54.npy
D:\Data\brats18\train/Image/1_119_55.npy,D:\Data\brats18\train/Mask/1_119_55.npy
D:\Data\brats18\train/Image/1_119_56.npy,D:\Data\brats18\train/Mask/1_119_56.npy
D:\Data\brats18\train/Image/1_119_57.npy,D:\Data\brats18\train/Mask/1_119_57.npy
D:\Data\brats18\train/Image/1_119_58.npy,D:\Data\brats18\train/Mask/1_119_58.npy
D:\Data\brats18\train/Image/1_119_59.npy,D:\Data\brats18\train/Mask/1_119_59.npy
D:\Data\brats18\train/Image/1_119_6.npy,D:\Data\brats18\train/Mask/1_119_6.npy
D:\Data\brats18\train/Image/1_119_60.npy,D:\Data\brats18\train/Mask/1_119_60.npy
D:\Data\brats18\train/Image/1_119_61.npy,D:\Data\brats18\train/Mask/1_119_61.npy
D:\Data\brats18\train/Image/1_119_62.npy,D:\Data\brats18\train/Mask/1_119_62.npy
D:\Data\brats18\train/Image/1_119_63.npy,D:\Data\brats18\train/Mask/1_119_63.npy
D:\Data\brats18\train/Image/1_119_64.npy,D:\Data\brats18\train/Mask/1_119_64.npy
D:\Data\brats18\train/Image/1_119_65.npy,D:\Data\brats18\train/Mask/1_119_65.npy
D:\Data\brats18\train/Image/1_119_66.npy,D:\Data\brats18\train/Mask/1_119_66.npy
D:\Data\brats18\train/Image/1_119_67.npy,D:\Data\brats18\train/Mask/1_119_67.npy
D:\Data\brats18\train/Image/1_119_68.npy,D:\Data\brats18\train/Mask/1_119_68.npy
D:\Data\brats18\train/Image/1_119_69.npy,D:\Data\brats18\train/Mask/1_119_69.npy
D:\Data\brats18\train/Image/1_119_7.npy,D:\Data\brats18\train/Mask/1_119_7.npy
D:\Data\brats18\train/Image/1_119_70.npy,D:\Data\brats18\train/Mask/1_119_70.npy
D:\Data\brats18\train/Image/1_119_71.npy,D:\Data\brats18\train/Mask/1_119_71.npy
D:\Data\brats18\train/Image/1_119_72.npy,D:\Data\brats18\train/Mask/1_119_72.npy
D:\Data\brats18\train/Image/1_119_73.npy,D:\Data\brats18\train/Mask/1_119_73.npy
D:\Data\brats18\train/Image/1_119_74.npy,D:\Data\brats18\train/Mask/1_119_74.npy
D:\Data\brats18\train/Image/1_119_75.npy,D:\Data\brats18\train/Mask/1_119_75.npy
D:\Data\brats18\train/Image/1_119_76.npy,D:\Data\brats18\train/Mask/1_119_76.npy
D:\Data\brats18\train/Image/1_119_77.npy,D:\Data\brats18\train/Mask/1_119_77.npy
D:\Data\brats18\train/Image/1_119_78.npy,D:\Data\brats18\train/Mask/1_119_78.npy
D:\Data\brats18\train/Image/1_119_79.npy,D:\Data\brats18\train/Mask/1_119_79.npy
D:\Data\brats18\train/Image/1_119_80.npy,D:\Data\brats18\train/Mask/1_119_80.npy
D:\Data\brats18\train/Image/1_119_81.npy,D:\Data\brats18\train/Mask/1_119_81.npy
D:\Data\brats18\train/Image/1_119_82.npy,D:\Data\brats18\train/Mask/1_119_82.npy
D:\Data\brats18\train/Image/1_119_83.npy,D:\Data\brats18\train/Mask/1_119_83.npy
D:\Data\brats18\train/Image/1_119_84.npy,D:\Data\brats18\train/Mask/1_119_84.npy
D:\Data\brats18\train/Image/1_119_85.npy,D:\Data\brats18\train/Mask/1_119_85.npy
D:\Data\brats18\train/Image/1_119_86.npy,D:\Data\brats18\train/Mask/1_119_86.npy
D:\Data\brats18\train/Image/1_119_87.npy,D:\Data\brats18\train/Mask/1_119_87.npy
D:\Data\brats18\train/Image/1_119_88.npy,D:\Data\brats18\train/Mask/1_119_88.npy
D:\Data\brats18\train/Image/1_119_89.npy,D:\Data\brats18\train/Mask/1_119_89.npy
D:\Data\brats18\train/Image/1_119_9.npy,D:\Data\brats18\train/Mask/1_119_9.npy
D:\Data\brats18\train/Image/1_119_90.npy,D:\Data\brats18\train/Mask/1_119_90.npy
D:\Data\brats18\train/Image/1_119_91.npy,D:\Data\brats18\train/Mask/1_119_91.npy
D:\Data\brats18\train/Image/1_119_92.npy,D:\Data\brats18\train/Mask/1_119_92.npy
D:\Data\brats18\train/Image/1_119_93.npy,D:\Data\brats18\train/Mask/1_119_93.npy
D:\Data\brats18\train/Image/1_119_94.npy,D:\Data\brats18\train/Mask/1_119_94.npy
D:\Data\brats18\train/Image/1_119_95.npy,D:\Data\brats18\train/Mask/1_119_95.npy
D:\Data\brats18\train/Image/1_119_96.npy,D:\Data\brats18\train/Mask/1_119_96.npy
D:\Data\brats18\train/Image/1_119_97.npy,D:\Data\brats18\train/Mask/1_119_97.npy
D:\Data\brats18\train/Image/1_119_98.npy,D:\Data\brats18\train/Mask/1_119_98.npy
D:\Data\brats18\train/Image/1_119_99.npy,D:\Data\brats18\train/Mask/1_119_99.npy
D:\Data\brats18\train/Image/1_11_0.npy,D:\Data\brats18\train/Mask/1_11_0.npy
D:\Data\brats18\train/Image/1_11_1.npy,D:\Data\brats18\train/Mask/1_11_1.npy
D:\Data\brats18\train/Image/1_11_10.npy,D:\Data\brats18\train/Mask/1_11_10.npy
D:\Data\brats18\train/Image/1_11_100.npy,D:\Data\brats18\train/Mask/1_11_100.npy
D:\Data\brats18\train/Image/1_11_101.npy,D:\Data\brats18\train/Mask/1_11_101.npy
D:\Data\brats18\train/Image/1_11_102.npy,D:\Data\brats18\train/Mask/1_11_102.npy
D:\Data\brats18\train/Image/1_11_103.npy,D:\Data\brats18\train/Mask/1_11_103.npy
D:\Data\brats18\train/Image/1_11_104.npy,D:\Data\brats18\train/Mask/1_11_104.npy
D:\Data\brats18\train/Image/1_11_105.npy,D:\Data\brats18\train/Mask/1_11_105.npy
D:\Data\brats18\train/Image/1_11_106.npy,D:\Data\brats18\train/Mask/1_11_106.npy
D:\Data\brats18\train/Image/1_11_107.npy,D:\Data\brats18\train/Mask/1_11_107.npy
D:\Data\brats18\train/Image/1_11_108.npy,D:\Data\brats18\train/Mask/1_11_108.npy
D:\Data\brats18\train/Image/1_11_109.npy,D:\Data\brats18\train/Mask/1_11_109.npy
D:\Data\brats18\train/Image/1_11_11.npy,D:\Data\brats18\train/Mask/1_11_11.npy
D:\Data\brats18\train/Image/1_11_110.npy,D:\Data\brats18\train/Mask/1_11_110.npy
D:\Data\brats18\train/Image/1_11_111.npy,D:\Data\brats18\train/Mask/1_11_111.npy
D:\Data\brats18\train/Image/1_11_112.npy,D:\Data\brats18\train/Mask/1_11_112.npy
D:\Data\brats18\train/Image/1_11_113.npy,D:\Data\brats18\train/Mask/1_11_113.npy
D:\Data\brats18\train/Image/1_11_114.npy,D:\Data\brats18\train/Mask/1_11_114.npy
D:\Data\brats18\train/Image/1_11_115.npy,D:\Data\brats18\train/Mask/1_11_115.npy
D:\Data\brats18\train/Image/1_11_116.npy,D:\Data\brats18\train/Mask/1_11_116.npy
D:\Data\brats18\train/Image/1_11_117.npy,D:\Data\brats18\train/Mask/1_11_117.npy
D:\Data\brats18\train/Image/1_11_118.npy,D:\Data\brats18\train/Mask/1_11_118.npy
D:\Data\brats18\train/Image/1_11_119.npy,D:\Data\brats18\train/Mask/1_11_119.npy
D:\Data\brats18\train/Image/1_11_12.npy,D:\Data\brats18\train/Mask/1_11_12.npy
D:\Data\brats18\train/Image/1_11_120.npy,D:\Data\brats18\train/Mask/1_11_120.npy
D:\Data\brats18\train/Image/1_11_121.npy,D:\Data\brats18\train/Mask/1_11_121.npy
D:\Data\brats18\train/Image/1_11_122.npy,D:\Data\brats18\train/Mask/1_11_122.npy
D:\Data\brats18\train/Image/1_11_123.npy,D:\Data\brats18\train/Mask/1_11_123.npy
D:\Data\brats18\train/Image/1_11_124.npy,D:\Data\brats18\train/Mask/1_11_124.npy
D:\Data\brats18\train/Image/1_11_125.npy,D:\Data\brats18\train/Mask/1_11_125.npy
D:\Data\brats18\train/Image/1_11_13.npy,D:\Data\brats18\train/Mask/1_11_13.npy
D:\Data\brats18\train/Image/1_11_14.npy,D:\Data\brats18\train/Mask/1_11_14.npy
D:\Data\brats18\train/Image/1_11_15.npy,D:\Data\brats18\train/Mask/1_11_15.npy
D:\Data\brats18\train/Image/1_11_16.npy,D:\Data\brats18\train/Mask/1_11_16.npy
D:\Data\brats18\train/Image/1_11_17.npy,D:\Data\brats18\train/Mask/1_11_17.npy
D:\Data\brats18\train/Image/1_11_18.npy,D:\Data\brats18\train/Mask/1_11_18.npy
D:\Data\brats18\train/Image/1_11_19.npy,D:\Data\brats18\train/Mask/1_11_19.npy
D:\Data\brats18\train/Image/1_11_2.npy,D:\Data\brats18\train/Mask/1_11_2.npy
D:\Data\brats18\train/Image/1_11_20.npy,D:\Data\brats18\train/Mask/1_11_20.npy
D:\Data\brats18\train/Image/1_11_21.npy,D:\Data\brats18\train/Mask/1_11_21.npy
D:\Data\brats18\train/Image/1_11_22.npy,D:\Data\brats18\train/Mask/1_11_22.npy
D:\Data\brats18\train/Image/1_11_23.npy,D:\Data\brats18\train/Mask/1_11_23.npy
D:\Data\brats18\train/Image/1_11_24.npy,D:\Data\brats18\train/Mask/1_11_24.npy
D:\Data\brats18\train/Image/1_11_25.npy,D:\Data\brats18\train/Mask/1_11_25.npy
D:\Data\brats18\train/Image/1_11_26.npy,D:\Data\brats18\train/Mask/1_11_26.npy
D:\Data\brats18\train/Image/1_11_27.npy,D:\Data\brats18\train/Mask/1_11_27.npy
D:\Data\brats18\train/Image/1_11_28.npy,D:\Data\brats18\train/Mask/1_11_28.npy
D:\Data\brats18\train/Image/1_11_29.npy,D:\Data\brats18\train/Mask/1_11_29.npy
D:\Data\brats18\train/Image/1_11_3.npy,D:\Data\brats18\train/Mask/1_11_3.npy
D:\Data\brats18\train/Image/1_11_30.npy,D:\Data\brats18\train/Mask/1_11_30.npy
D:\Data\brats18\train/Image/1_11_31.npy,D:\Data\brats18\train/Mask/1_11_31.npy
D:\Data\brats18\train/Image/1_11_32.npy,D:\Data\brats18\train/Mask/1_11_32.npy
D:\Data\brats18\train/Image/1_11_33.npy,D:\Data\brats18\train/Mask/1_11_33.npy
D:\Data\brats18\train/Image/1_11_34.npy,D:\Data\brats18\train/Mask/1_11_34.npy
D:\Data\brats18\train/Image/1_11_35.npy,D:\Data\brats18\train/Mask/1_11_35.npy
D:\Data\brats18\train/Image/1_11_36.npy,D:\Data\brats18\train/Mask/1_11_36.npy
D:\Data\brats18\train/Image/1_11_37.npy,D:\Data\brats18\train/Mask/1_11_37.npy
D:\Data\brats18\train/Image/1_11_38.npy,D:\Data\brats18\train/Mask/1_11_38.npy
D:\Data\brats18\train/Image/1_11_39.npy,D:\Data\brats18\train/Mask/1_11_39.npy
D:\Data\brats18\train/Image/1_11_4.npy,D:\Data\brats18\train/Mask/1_11_4.npy
D:\Data\brats18\train/Image/1_11_40.npy,D:\Data\brats18\train/Mask/1_11_40.npy
D:\Data\brats18\train/Image/1_11_41.npy,D:\Data\brats18\train/Mask/1_11_41.npy
D:\Data\brats18\train/Image/1_11_42.npy,D:\Data\brats18\train/Mask/1_11_42.npy
D:\Data\brats18\train/Image/1_11_43.npy,D:\Data\brats18\train/Mask/1_11_43.npy
D:\Data\brats18\train/Image/1_11_44.npy,D:\Data\brats18\train/Mask/1_11_44.npy
D:\Data\brats18\train/Image/1_11_45.npy,D:\Data\brats18\train/Mask/1_11_45.npy
D:\Data\brats18\train/Image/1_11_46.npy,D:\Data\brats18\train/Mask/1_11_46.npy
D:\Data\brats18\train/Image/1_11_47.npy,D:\Data\brats18\train/Mask/1_11_47.npy
D:\Data\brats18\train/Image/1_11_48.npy,D:\Data\brats18\train/Mask/1_11_48.npy
D:\Data\brats18\train/Image/1_11_49.npy,D:\Data\brats18\train/Mask/1_11_49.npy
D:\Data\brats18\train/Image/1_11_5.npy,D:\Data\brats18\train/Mask/1_11_5.npy
D:\Data\brats18\train/Image/1_11_50.npy,D:\Data\brats18\train/Mask/1_11_50.npy
D:\Data\brats18\train/Image/1_11_51.npy,D:\Data\brats18\train/Mask/1_11_51.npy
D:\Data\brats18\train/Image/1_11_52.npy,D:\Data\brats18\train/Mask/1_11_52.npy
D:\Data\brats18\train/Image/1_11_53.npy,D:\Data\brats18\train/Mask/1_11_53.npy
D:\Data\brats18\train/Image/1_11_54.npy,D:\Data\brats18\train/Mask/1_11_54.npy
D:\Data\brats18\train/Image/1_11_55.npy,D:\Data\brats18\train/Mask/1_11_55.npy
D:\Data\brats18\train/Image/1_11_56.npy,D:\Data\brats18\train/Mask/1_11_56.npy
D:\Data\brats18\train/Image/1_11_57.npy,D:\Data\brats18\train/Mask/1_11_57.npy
D:\Data\brats18\train/Image/1_11_58.npy,D:\Data\brats18\train/Mask/1_11_58.npy
D:\Data\brats18\train/Image/1_11_59.npy,D:\Data\brats18\train/Mask/1_11_59.npy
D:\Data\brats18\train/Image/1_11_60.npy,D:\Data\brats18\train/Mask/1_11_60.npy
D:\Data\brats18\train/Image/1_11_61.npy,D:\Data\brats18\train/Mask/1_11_61.npy
D:\Data\brats18\train/Image/1_11_62.npy,D:\Data\brats18\train/Mask/1_11_62.npy
D:\Data\brats18\train/Image/1_11_63.npy,D:\Data\brats18\train/Mask/1_11_63.npy
D:\Data\brats18\train/Image/1_11_64.npy,D:\Data\brats18\train/Mask/1_11_64.npy
D:\Data\brats18\train/Image/1_11_65.npy,D:\Data\brats18\train/Mask/1_11_65.npy
D:\Data\brats18\train/Image/1_11_66.npy,D:\Data\brats18\train/Mask/1_11_66.npy
D:\Data\brats18\train/Image/1_11_67.npy,D:\Data\brats18\train/Mask/1_11_67.npy
D:\Data\brats18\train/Image/1_11_68.npy,D:\Data\brats18\train/Mask/1_11_68.npy
D:\Data\brats18\train/Image/1_11_69.npy,D:\Data\brats18\train/Mask/1_11_69.npy
D:\Data\brats18\train/Image/1_11_7.npy,D:\Data\brats18\train/Mask/1_11_7.npy
D:\Data\brats18\train/Image/1_11_70.npy,D:\Data\brats18\train/Mask/1_11_70.npy
D:\Data\brats18\train/Image/1_11_71.npy,D:\Data\brats18\train/Mask/1_11_71.npy
D:\Data\brats18\train/Image/1_11_72.npy,D:\Data\brats18\train/Mask/1_11_72.npy
D:\Data\brats18\train/Image/1_11_73.npy,D:\Data\brats18\train/Mask/1_11_73.npy
D:\Data\brats18\train/Image/1_11_74.npy,D:\Data\brats18\train/Mask/1_11_74.npy
D:\Data\brats18\train/Image/1_11_75.npy,D:\Data\brats18\train/Mask/1_11_75.npy
D:\Data\brats18\train/Image/1_11_76.npy,D:\Data\brats18\train/Mask/1_11_76.npy
D:\Data\brats18\train/Image/1_11_77.npy,D:\Data\brats18\train/Mask/1_11_77.npy
D:\Data\brats18\train/Image/1_11_78.npy,D:\Data\brats18\train/Mask/1_11_78.npy
D:\Data\brats18\train/Image/1_11_79.npy,D:\Data\brats18\train/Mask/1_11_79.npy
D:\Data\brats18\train/Image/1_11_8.npy,D:\Data\brats18\train/Mask/1_11_8.npy
D:\Data\brats18\train/Image/1_11_80.npy,D:\Data\brats18\train/Mask/1_11_80.npy
D:\Data\brats18\train/Image/1_11_81.npy,D:\Data\brats18\train/Mask/1_11_81.npy
D:\Data\brats18\train/Image/1_11_82.npy,D:\Data\brats18\train/Mask/1_11_82.npy
D:\Data\brats18\train/Image/1_11_83.npy,D:\Data\brats18\train/Mask/1_11_83.npy
D:\Data\brats18\train/Image/1_11_84.npy,D:\Data\brats18\train/Mask/1_11_84.npy
D:\Data\brats18\train/Image/1_11_85.npy,D:\Data\brats18\train/Mask/1_11_85.npy
D:\Data\brats18\train/Image/1_11_86.npy,D:\Data\brats18\train/Mask/1_11_86.npy
D:\Data\brats18\train/Image/1_11_87.npy,D:\Data\brats18\train/Mask/1_11_87.npy
D:\Data\brats18\train/Image/1_11_88.npy,D:\Data\brats18\train/Mask/1_11_88.npy
D:\Data\brats18\train/Image/1_11_89.npy,D:\Data\brats18\train/Mask/1_11_89.npy
D:\Data\brats18\train/Image/1_11_9.npy,D:\Data\brats18\train/Mask/1_11_9.npy
D:\Data\brats18\train/Image/1_11_90.npy,D:\Data\brats18\train/Mask/1_11_90.npy
D:\Data\brats18\train/Image/1_11_91.npy,D:\Data\brats18\train/Mask/1_11_91.npy
D:\Data\brats18\train/Image/1_11_92.npy,D:\Data\brats18\train/Mask/1_11_92.npy
D:\Data\brats18\train/Image/1_11_93.npy,D:\Data\brats18\train/Mask/1_11_93.npy
D:\Data\brats18\train/Image/1_11_94.npy,D:\Data\brats18\train/Mask/1_11_94.npy
